CRE,Cod. INEP,Município,Latitude,Longitude,Idt. Estab,Designação,Denominação,Endereço,Fone,CEP,Cod.Munic.IBGE (7)
1,43105165,Porto Alegre,"-30,01729467","-51,20274782",10516,Esc Técnica Est,Irmão Pedro,R Felix da Cunha 515,5133951001,90570001,4314902
1,43105173,Porto Alegre,"-30,01478217","-51,09737271",10517,Esc Técnica Est,José Feijó,R Eneas Flores 55,(51) 3366-3816,91250476,4314902
1,43105181,Porto Alegre,"-30,0474888","-51,21778792",10518,Col Estadual,Protásio Alves,Av Ipiranga 1090,5132237066,90160091,4314902
1,43105190,Porto Alegre,"-30,01306579","-51,17666903",10519,Col Estadual,Dom João Becker,R Nova Prata 180,5133411316,90520150,4314902
1,43105203,Porto Alegre,"-30,0020094","-51,20275453",10520,Col Estadual,Cândido José de Godoi,Av França 400,5133425717,90230220,4314902
1,43105211,Porto Alegre,"-30,05946732","-51,22132829",10521,Esc Est Ens Med,Infante Dom Henrique,R Goncalves Dias 1022,5132336402,90130060,4314902
1,43105220,Porto Alegre,"-30,04408958","-51,21240009",10522,Col Estadual,Júlio de Castilhos,Av Piratini 76,5132233411,90040160,4314902
1,43105238,Porto Alegre,"-30,10905537","-51,25290529",10523,Esc Est Ens Med,Padre Reus,Av Otto Niemeyer 650,5132681883,91910001,4314902
1,43105386,Porto Alegre,"-30,05597968","-51,14799139",10538,Inst Estadual,Professora Gema Angelina Belia,Av Antonio de Carvalho 495,5133877092,91430001,4314902
1,43105394,Porto Alegre,"-30,08920406","-51,22785021",10539,Esc Est Ens Fun,Nações Unidas,R Manoel do Carmo 100,5132662049,90830340,4314902
1,43105564,Porto Alegre,"-30,01447465","-51,09621543",10556,Esc Est Ens Fun,Professora Luiza Teixeira Lauffer,R Rua Nossa Senhora de Fatima 201,5133661213,91250472,4314902
1,43105572,Porto Alegre,"-30,00099419","-51,20105697",10557,Esc Est Normal,1 de Maio,Av Presidente Roosevelt 149,(51) 3342-4588,90230000,4314902
1,43105580,Porto Alegre,"-30,01248766","-51,15526542",10558,Inst Estadual,Dom Diogo de Souza,R Adao Baino 206,(51) 3344-5806,91350240,4314902
1,43105688,Porto Alegre,"-30,03758273","-51,23146892",10568,Esc Técnica Est,Parobé,Av Jose Loureiro da Silva 945,5132216953,90010420,4314902
1,43105696,Porto Alegre,"-30,03488861","-51,23765208",10569,Esc Técnica Est,Senador Ernesto Dornelles,R Duque de Caxias 385,5132282455,90010282,4314902
1,43105742,Porto Alegre,"-30,07003522","-51,15576223",10574,Esc Est Ens Fun,Professora Marina Martins de Souza,R Sarg Exp Geraldo Santana Sn,(51) 3318-1103,91530640,4314902
1,43105750,Porto Alegre,"-30,03440055","-51,15692603",10575,Esc Est Ens Fun,Açorianos,R Salvador Pinheiro 65,5133380835,91320240,4314902
1,43105769,Porto Alegre,"-30,07493713","-51,13413334",10576,Esc Est Ens Med,Agronomo Pedro Pereira,Av Bento Goncalves 8426,5133195606,91540000,4314902
1,43105777,Porto Alegre,"-30,06988667","-51,21657327",10577,Esc Est Ens Fun,Alberto Bins,Av Moab Caldas 150,5132323005,90880310,4314902
1,43105785,Porto Alegre,"-30,11571368","-51,21013278",10578,Esc Est Ens Med,Alberto Torres,Av Rodrigues da Fonseca 1666,(51) 3263-3078,91740800,4314902
1,43105793,Porto Alegre,"-30,11085532","-51,23475529",10579,Esc Est Ens Fun,Alceu Wamosy,R Jardim das Bromelias 52,(51) 3242-9951,91920400,4314902
1,43105807,Porto Alegre,"-30,04618893","-51,08518583",10580,Esc Est Ed Bas,Almirante Bacelar,Av Protasio Alves 13097,5134351553,91260000,4314902
1,43105815,Porto Alegre,"-30,01414272","-51,25968422",10581,Esc Est Ens Med,Almirante Barroso,R Capitao Coelho 95,(51) 3211-6045,90090040,4314902
1,43105823,Porto Alegre,"-29,99531909","-51,22558594",10582,Esc Est Ens Fun,Alvarenga Peixoto,R Santa Rita de Cassia 100,5132031470,90090260,4314902
1,43105831,Porto Alegre,"-30,01445891","-51,12164453",10583,Esc Est Ens Fun,América,R Octacilio Jose Dias 0,(51) 3344-8577,91230380,4314902
1,43105840,Porto Alegre,"-30,00296931","-51,14276812",10584,Esc Est Ens Fun,Ana Neri,R Joaquim Silveira 738,5133409510,91060320,4314902
1,43105858,Porto Alegre,"-30,03171912","-51,2134393",10585,Esc Est Ens Med,Anne Frank,Av Cauduro 238,(51) 3311-3864,90035110,4314902
1,43105866,Porto Alegre,"-30,04849156","-51,13494874",10586,Esc Est Ens Med,Antao de Faria,R Rua Bom Jesus 505,5133675621,91420030,4314902
